COUNTRY,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia & Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,F.Y.R. Macedonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Malta,Moldova,Montenegro,Norway,Poland,Russia,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Ukraine,United Kingdom
Armenia,2,0,0,2,0,10,7,2,20,4,16,8,0,0,7,0,14,12,2,18,1,0,0,8,1,6,4,7,12,10,0,2,24,2,5,4,18,4,0,10,7,0
Australia,24,5,0,15,9,7,16,13,13,17,15,1,20,14,11,15,6,9,11,12,15,18,6,15,6,11,17,15,15,4,18,17,6,5,12,9,12,24,13,17,9,14
Austria,0,4,3,0,0,0,8,5,4,6,0,4,1,6,0,10,16,0,7,1,6,3,1,3,0,4,1,0,4,0,0,4,8,1,0,6,2,5,14,14,0,0
Azerbaijan,0,0,0,0,0,10,0,9,1,0,2,6,0,0,1,0,0,7,0,1,7,1,0,2,0,3,0,6,8,7,0,0,16,0,0,0,2,10,0,1,17,0
Belgium,0,4,24,5,0,4,0,0,10,0,0,2,16,0,8,0,4,10,5,0,0,6,12,7,0,0,5,0,0,3,7,0,0,0,5,8,0,0,10,16,10,0
Bulgaria,12,7,18,5,16,5,11,5,0,1,12,5,6,0,20,4,15,3,4,7,4,0,15,14,7,2,2,18,2,7,13,6,0,3,12,12,12,4,1,1,3,13
Croatia,0,0,1,6,0,0,0,14,0,0,1,8,0,0,11,0,0,2,0,0,0,7,0,3,0,0,0,0,1,6,0,0,0,0,4,8,0,0,0,0,0,1
Cyprus,0,12,0,0,0,0,0,0,7,1,0,0,0,7,0,1,0,0,0,20,5,0,0,0,7,0,0,5,2,0,0,1,11,5,3,0,0,0,0,0,0,9
Czech Republic,0,1,0,4,0,0,1,6,0,10,0,0,0,0,0,3,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0
France,10,19,13,8,4,0,16,11,0,10,13,5,2,3,0,4,0,4,0,10,1,7,3,20,12,0,4,8,6,6,1,1,10,0,0,0,17,11,3,9,0,6
Georgia,0,18,0,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,6,2,14,0,0,0,0,8,5,6,0,0,0,0,0,0,9,12
Germany,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Hungary,2,3,0,0,11,3,0,1,0,8,8,13,0,0,0,0,0,2,0,5,0,0,0,0,0,0,2,5,0,10,0,6,1,3,10,3,10,0,0,0,2,0
Israel,3,0,10,0,9,0,2,0,2,7,5,0,2,0,5,7,3,3,12,0,0,0,4,0,8,2,6,1,0,0,3,7,0,0,7,2,1,0,8,7,6,3
Italy,18,0,0,0,0,0,10,0,0,3,3,0,0,0,1,2,12,0,4,0,0,0,6,0,0,0,0,15,0,4,12,0,0,10,0,1,8,0,9,6,0,0
Latvia,0,0,0,0,0,5,0,0,0,0,0,1,0,15,3,2,0,13,2,0,8,0,8,5,0,0,19,0,1,0,3,11,4,6,0,7,0,0,3,0,13,3
Lithuania,4,0,8,1,5,10,0,0,1,0,3,3,11,10,0,6,0,10,1,0,3,4,12,1,2,18,0,0,7,2,14,2,0,8,8,0,0,8,7,0,15,16
Malta,2,13,6,10,11,5,0,0,7,0,6,6,0,2,0,5,4,0,0,4,10,4,0,0,5,4,0,0,3,12,0,0,8,3,10,0,6,7,0,0,0,0
Poland,5,1,0,12,5,6,12,0,6,4,2,7,5,1,2,5,7,4,10,3,8,10,10,4,10,5,9,0,0,1,11,0,5,7,0,4,5,10,5,10,8,10
Russia,14,14,5,11,24,24,6,11,18,14,22,10,4,12,8,8,7,8,12,22,10,15,8,10,8,19,8,14,19,18,6,8,0,17,13,10,12,14,6,3,12,7
Serbia,0,0,0,4,0,0,0,20,5,14,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,17,0,0,12,0,0,2
Spain,6,3,7,0,1,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0,5,0,0,4,12,0,0,2,8,0,7,5,0,0,0,0,0,2,2,0,0,4
Sweden,3,2,0,15,0,10,1,0,3,7,1,14,16,22,0,22,7,6,18,0,11,18,7,0,2,15,7,0,6,0,7,10,2,4,1,5,1,0,0,12,5,1
The Netherlands,0,0,3,6,0,0,14,0,2,0,0,7,14,6,2,10,7,0,7,0,8,18,8,0,4,3,0,3,0,0,6,0,0,4,5,1,3,7,5,0,0,0
Ukraine,6,10,10,10,20,17,5,19,10,10,7,12,15,15,18,12,10,22,13,8,12,0,4,20,22,22,18,4,22,8,8,24,10,24,19,19,7,7,10,10,0,15
United Kingdom,5,0,8,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,6,8,2,0,0,0,0,0,0,0
